f/4070717805|Circle Line (as a constellation in the night sky)|Ink on found paper.
f/4777884024|Durrington and Amesbury Towers from Queenstown Road Station|Ink, wash, moleskine notebook
f/14659078777|Overhead lines in cutting|Steel plate etching, 117 x 154 mm, 1985
f/9200603365|Wandsworth Road Station, towards Battersea Power Station|Ink, biro, wash, moleskine notebook
